relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
22,4.189654742026425,5,1,1,4.0943445622221,1,1,5,35,1,1,1,0,12,11.0,10.0,-74.75693517857756,39.58864011156978
20,3.2188758248682006,5,0,1,3.295836866004329,0,1,5,14,18,0,0,1,1,10.0,10.0,-74.70248044192584,39.58079684754449
0,3.912023005428146,1,0,1,3.871201010907891,1,1,5,33,30,0,0,1,1,15.0,10.0,-74.71625385866861,39.50487908237385
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10.0,-74.73355978355612,39.55897556629961
24,3.784189633918261,2,1,1,3.4657359027997265,1,0,2,35,20,0,0,1,11,16.0,10.0,-74.67636008449543,39.417964819998
3,3.4965075614664802,1,0,3,3.5553480614894135,1,1,2,35,30,0,0,1,1,23.0,10.0,-74.710584064542,39.603316532277674
3,3.8501476017100584,5,1,0,3.4657359027997265,0,0,5,35,18,0,0,1,1,12.0,10.0,-74.61177048913606,39.60124795470533
24,3.4339872044851463,5,1,1,3.5553480614894135,1,1,5,14,18,0,0,1,1,20.0,10.0,-74.62029010792936,39.49553506463048
3,3.4339872044851463,5,1,1,3.258096538021482,0,1,5,35,18,0,0,1,1,16.0,10.0,-74.7663653115697,39.50876517715671
24,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,10.0,10.0,-74.62811124510573,39.61689973451673
15,3.4965075614664802,2,1,3,3.295836866004329,0,1,2,35,18,0,0,1,1,14.0,10.0,-74.71114054819652,39.52571873209411
8,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,10.0,-74.68445209307117,39.46816741292486
16,3.970291913552122,2,1,1,3.6888794541139363,0,1,2,25,0,0,0,1,1,19.0,10.0,-74.71533838022914,39.41787520780634
20,4.276666119016055,5,1,1,3.091042453358316,1,1,2,24,7,1,0,1,5,17.0,10.0,-74.66234215936515,39.489993927928985
1,3.7612001156935624,5,1,0,3.6888794541139363,1,1,2,35,1,1,1,0,12,17.0,10.0,-74.66497672559873,39.52060686578161
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10.0,-74.78288246298965,39.47282727821311
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,10,20,0,0,1,11,16.0,10.0,-74.63602810902397,39.499557847205786
24,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,9.0,10.0,-74.66092614611682,39.50679436615187
20,3.784189633918261,5,1,1,3.970291913552122,1,1,2,25,5,1,0,1,4,20.0,10.0,-74.75194952348082,39.57463956514397
0,4.060443010546419,2,0,1,3.295836866004329,0,1,2,35,30,0,0,1,1,11.0,10.0,-74.669737330769,39.420708168441074
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10.0,-74.61925537538438,39.58182916793919
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,22,20,0,0,1,11,17.0,10.0,-74.67133420236298,39.54790807332154
23,3.4339872044851463,2,1,1,3.367295829986474,0,1,5,35,18,0,0,1,1,12.0,10.0,-74.65227137011901,39.55035638440879
16,3.5553480614894135,5,1,1,3.4657359027997265,0,1,5,35,30,0,0,1,1,7.0,10.0,-74.67687422237837,39.62530417524352
14,3.9318256327243257,5,0,1,3.1354942159291497,1,1,5,35,7,1,0,1,5,8.0,10.0,-74.74619901275966,39.5004711133628
24,3.5263605246161616,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,9.0,10.0,-74.74011219020834,39.512041772426514
20,4.189654742026425,5,1,1,2.8903717578961645,1,1,5,13,6,1,1,1,8,19.0,10.0,-74.5989865429206,39.537145324488655
3,3.828641396489095,5,1,1,3.9889840465642745,0,1,5,35,30,0,0,1,1,9.0,11.0,-74.72485473782626,39.44934652351621
3,3.713572066704308,5,0,1,3.4339872044851463,0,1,5,35,30,0,0,1,1,23.0,11.0,-74.73817273768663,39.586885367869144
19,2.772588722239781,5,0,0,3.332204510175204,0,0,5,35,30,0,0,1,1,12.0,11.0,-74.63643812953536,39.57271718840737
3,4.007333185232471,5,0,1,4.143134726391533,1,1,5,35,18,0,0,1,1,17.0,11.0,-74.67585160929076,39.58617977530516
3,3.4965075614664802,5,0,1,3.6375861597263857,1,1,5,35,18,0,0,1,1,20.0,11.0,-74.72648920239827,39.5981139735896
5,3.6109179126442243,2,1,1,3.5553480614894135,0,1,2,6,6,1,1,1,8,21.0,11.0,-74.65938089728098,39.64121006679301
1,3.6109179126442243,2,1,1,3.5553480614894135,0,1,2,35,6,1,1,1,8,17.0,11.0,-74.67296598458994,39.54718110671588
