data_year,weapon_id,offense_id,nibrs_weapon_id
2022,41,192326197,
2022,41,192326204,
2022,41,194315111,
2022,42,192326207,
2022,41,192597366,
2022,41,192326209,
2022,41,192326215,
2022,42,192326216,
2022,42,196806296,
2022,41,192326227,
2022,42,192326234,
2022,41,192279516,
2022,41,192326236,
2022,41,202983487,
2022,38,192326240,
2022,21,192326243,
2022,41,194315121,
2022,41,192326252,
2022,42,192326253,
2022,42,194315123,
2022,1,194315124,
2022,42,192326267,
2022,38,194315129,
2022,38,194315130,
2022,42,194315132,
2022,42,194315133,
2022,41,192326276,
2022,38,192326285,
2022,41,192441889,
2022,42,194315140,
2022,5,202188053,
2022,42,192326298,
2022,42,192326299,
2022,42,194315143,
2022,41,192279532,
2022,41,199172517,
2022,41,192326320,
2022,42,192326322,
2022,42,192326325,
2022,31,194315147,
2022,42,192326337,
2022,42,194315150,
2022,42,194315153,
2022,41,192326341,
2022,39,194315155,
2022,42,192279542,
2022,42,194315160,
2022,3,200562882,
2022,3,200562885,
2022,38,194315164,
2022,42,194315166,
2022,41,194315172,
2022,41,194315173,
2022,41,194315178,
2022,42,194315191,
2022,41,194315197,
2022,41,194315198,
2022,31,202033037,
2022,42,194315204,
2022,42,194315207,
2022,41,194742068,
2022,42,195902920,
2022,41,194315221,
2022,41,199528172,
2022,42,199528173,
2022,42,194315225,
2022,21,194315229,
2022,21,194315232,
2022,39,198680838,
2022,41,195375207,
2022,41,195375208,
2022,42,195778069,
2022,41,195778070,
2022,42,195346884,
2022,42,199528174,
2022,42,195466548,
2022,41,195778071,
2022,41,178053264,
2022,21,178780438,
2022,21,178780439,
2022,41,178780445,
2022,41,178780448,
2022,39,178780449,
2022,41,178780454,
2022,41,178780457,
2022,41,178780458,
2022,41,178858277,
2022,41,178858279,
2022,41,178858287,
2022,32,179019305,
2022,42,178858291,
2022,41,178858292,
2022,38,178858309,
2022,41,179185869,
2022,41,181419584,
2022,39,187800842,
2022,42,179625731,
2022,38,187717187,
2022,41,179993588,
2022,41,187717197,
2022,41,189380727,
2022,41,189380730,
2022,41,194317367,
2022,41,194317368,
2022,41,194317378,
2022,39,194317386,
2022,41,194317389,
2022,41,194317392,
2022,41,194317394,
2022,3,194317396,
2022,41,194317403,
2022,41,194317422,
2022,41,194317430,
2022,21,194317438,
2022,39,194317440,
2022,42,194317449,
2022,3,194317458,
2022,21,194317459,
2022,21,194317460,
2022,21,194317486,
2022,41,194317492,
2022,41,194317493,
2022,41,194317495,
2022,41,194317504,
2022,31,194317505,
2022,42,194317510,
2022,1,194317522,
2022,42,194317526,
2022,41,194317527,
2022,41,180074774,
2022,41,181528046,
2022,41,196809191,
2022,42,181419588,
2022,41,181419589,
2022,41,181419591,
2022,3,182643051,
2022,21,196809197,
2022,41,181419604,
2022,41,181528047,
2022,41,196809212,
2022,41,196809213,
2022,41,181652960,
2022,41,188666971,
2022,41,188666974,
2022,41,188666975,
2022,41,188666981,
2022,31,188666982,
2022,41,188666983,
2022,41,188666989,
2022,41,188666991,
2022,41,188666993,
2022,21,188666994,
2022,21,188666998,
2022,21,188667002,
2022,21,188667003,
2022,21,188667006,
2022,41,188667007,
2022,41,188667008,
2022,41,188667010,
2022,41,188667014,
2022,41,188667018,
2022,41,188667023,
2022,41,188667027,
2022,31,188667039,
2022,31,188667040,
2022,39,188667044,
2022,21,188667045,
2022,41,188667047,
2022,41,188667059,
2022,3,188667060,
2022,3,188667062,
2022,41,188667067,
2022,41,181652961,
2022,41,188667070,
2022,41,188667076,
2022,21,188667081,
2022,38,188667084,
2022,41,188667086,
2022,42,188667089,
2022,41,188667094,
2022,41,188667098,
2022,41,188667099,
2022,39,188667101,
2022,1,188667103,
2022,1,188667104,
2022,41,188667105,
2022,41,188667113,
2022,41,188667114,
2022,21,191132741,
2022,41,191132744,
2022,38,181660092,
2022,41,181757674,
2022,41,181757679,
2022,41,182643053,
2022,41,182643055,
2022,41,182643059,
2022,41,182643061,
2022,41,182643067,
2022,41,182643071,
2022,41,182643099,
2022,38,182643101,
2022,38,191132751,
2022,37,183044498,
2022,21,183117881,
2022,31,191132753,
2022,41,191132758,
2022,31,183117881,
2022,21,183117882,
2022,31,183117882,
2022,41,183409990,
2022,39,191132761,
2022,3,191132763,
2022,42,191132767,
2022,32,183409991,
2022,3,190863863,
2022,41,191132772,
2022,41,191132776,
2022,41,191132777,
2022,41,191053829,
2022,21,191053830,
2022,41,191053853,
2022,41,191053872,
2022,41,191053885,
2022,39,192017172,
2022,38,192017173,
2022,41,192017204,
2022,41,192017213,
2022,41,192017216,
2022,21,192017217,
2022,41,192017219,
2022,41,192017231,
2022,41,197176821,
2022,41,197176824,
2022,41,197176825,
2022,41,197176827,
2022,3,197176828,
2022,41,197176831,
2022,41,197176834,
2022,41,197176840,
2022,38,197176844,
2022,41,197176847,
2022,41,197176848,
2022,41,197176850,
2022,41,197176854,
2022,41,197176859,
2022,41,197176862,
2022,41,197176863,
2022,41,197176864,
2022,41,195370672,
2022,41,195370674,
2022,42,195370676,
2022,41,195370683,
2022,41,195370685,
2022,3,195370686,
2022,41,195370699,
2022,41,195370700,
2022,41,195370701,
2022,41,195370703,
2022,42,195370706,
2022,41,190863864,
2022,41,196176285,
2022,41,196176286,
2022,41,196176291,
2022,41,183842778,
2022,41,196176292,
2022,41,183953811,
2022,41,196176301,
2022,41,183990299,
2022,41,196176313,
2022,41,184304326,
2022,41,191009629,
2022,41,182644034,
2022,41,191009630,
2022,3,191053771,
2022,41,182644041,
2022,41,182644042,
2022,41,191265366,
2022,41,191265369,
2022,41,182644050,
2022,38,191265372,
2022,41,191265373,
2022,21,191351720,
2022,38,191351720,
2022,41,191649425,
2022,41,182644070,
2022,41,191649442,
2022,41,182644090,
2022,41,191654926,
2022,41,182644098,
2022,41,191791102,
2022,42,191793891,
2022,21,191824149,
2022,3,182644119,
2022,41,182644121,
2022,41,191824150,
2022,41,182644122,
2022,41,191824152,
2022,41,182644123,
2022,41,191824162,
2022,41,191824167,
2022,41,191831216,
2022,41,182981695,
2022,41,182981709,
2022,41,182981724,
2022,1,191845500,
2022,41,182981741,
2022,41,182981748,
2022,21,182981756,
2022,41,182981758,
2022,41,182981765,
2022,41,191848728,
2022,1,191848729,
2022,21,191848730,
2022,38,175699900,
2022,21,184483762,
2022,41,184483766,
2022,41,184483770,
2022,41,186678782,
2022,41,186678793,
2022,41,186678807,
2022,42,186678815,
2022,41,186678828,
2022,41,188511291,
2022,42,188511292,
2022,21,188511298,
2022,21,188511309,
2022,21,188511310,
2022,41,188511313,
2022,41,188511315,
2022,41,188511318,
2022,41,189768451,
2022,39,189768464,
2022,3,189768465,
2022,41,189768492,
2022,41,189768497,
2022,3,189768507,
2022,3,189768508,
2022,3,189768511,
2022,3,189768512,
2022,41,189768524,
2022,41,191027221,
2022,41,191027236,
2022,41,191027241,
2022,41,191027251,
2022,42,191027255,
2022,41,194318490,
2022,42,194318493,
2022,41,194318503,
2022,42,194318507,
2022,42,194318509,
2022,21,194318513,
2022,41,194318546,
2022,38,194318560,
2022,38,194318561,
2022,42,194318581,
2022,1,194318583,
