data_year,bias_id,offense_id
2022,88,192326192
2022,88,192326193
2022,88,192326195
2022,88,192326196
2022,88,192326197
2022,88,192326198
2022,88,194315110
2022,88,192326199
2022,88,192326200
2022,88,192326201
2022,88,192326202
2022,88,192326203
2022,88,192326204
2022,88,192326206
2022,88,194315111
2022,88,192326207
2022,88,192279514
2022,88,192597366
2022,88,194315112
2022,88,192326208
2022,88,192326209
2022,88,192326210
2022,88,192326211
2022,88,194315113
2022,88,194315114
2022,88,192326213
2022,88,192326215
2022,88,192326216
2022,88,194315115
2022,88,192326218
2022,88,192326219
2022,88,192326220
2022,88,192326221
2022,88,192326222
2022,88,194315116
2022,88,192326223
2022,88,192326224
2022,88,194315117
2022,88,202033029
2022,88,192326225
2022,88,196806296
2022,88,192326227
2022,88,202033030
2022,88,192326228
2022,88,192326232
2022,88,192326233
2022,88,192279515
2022,88,199528170
2022,88,192326234
2022,88,194315118
2022,88,192279516
2022,88,192326235
2022,88,192326236
2022,88,192326237
2022,88,202983487
2022,88,192326239
2022,88,192326240
2022,88,192326241
2022,88,192326242
2022,88,192326243
2022,88,194315119
2022,88,192326245
2022,88,192326246
2022,88,192326247
2022,88,192326248
2022,88,194315120
2022,88,192326249
2022,88,192326250
2022,88,192326251
2022,88,194315121
2022,88,192326252
2022,88,192326253
2022,88,194315122
2022,88,194315123
2022,88,194315124
2022,88,192279517
2022,88,192326254
2022,88,192326255
2022,88,192279518
2022,88,192326257
2022,88,192279519
2022,88,192279520
2022,88,192326258
2022,88,192326259
2022,88,192279521
2022,88,192326260
2022,88,192326261
2022,88,192279522
2022,88,192279523
2022,88,192279524
2022,88,192326262
2022,88,192326263
2022,88,192326264
2022,88,192326265
2022,88,192326266
2022,88,192326267
2022,88,195235243
2022,88,192326269
2022,88,194315125
2022,88,194315126
2022,88,194315127
2022,88,194315128
2022,88,194315129
2022,88,194315130
2022,88,192326270
2022,88,192326271
2022,88,194315132
2022,88,194315133
2022,88,192326272
2022,88,192326273
2022,88,192326274
2022,88,192326276
2022,88,194315134
2022,88,194315135
2022,88,197006491
2022,88,192326278
2022,88,192326279
2022,88,194315136
2022,88,192326281
2022,88,194315137
2022,88,194315138
2022,88,192326282
2022,88,192326283
2022,88,192326284
2022,88,192326285
2022,88,194315139
2022,88,192441889
2022,88,192326286
2022,88,192279526
2022,88,192326287
2022,88,192279527
2022,88,192326288
2022,88,192279528
2022,88,194315140
2022,88,192279529
2022,88,194315141
2022,88,192326289
2022,88,192326290
2022,88,202188053
2022,88,192326294
2022,88,192326295
2022,88,192326296
2022,88,192279530
2022,88,192279531
2022,88,192326297
2022,88,202033031
2022,88,202033032
2022,88,192326298
2022,88,192326299
2022,88,194315143
2022,88,192326300
2022,88,202033033
2022,88,194315144
2022,88,192326301
2022,88,192326302
2022,88,192279532
2022,88,192279533
2022,88,192326303
2022,88,192326304
2022,88,192326306
2022,88,192326307
2022,88,194315145
2022,88,192326309
2022,88,192326310
2022,88,192326311
2022,88,192326312
2022,88,194315146
2022,88,192326313
2022,88,192326314
2022,88,192326315
2022,88,192279537
2022,88,192326316
2022,88,199172517
2022,88,192326319
2022,88,192326320
2022,88,192326321
2022,88,192326322
2022,88,192326323
2022,88,192326324
2022,88,192326325
2022,88,192326326
2022,88,192279539
2022,88,194315147
2022,88,192326327
2022,88,194315148
2022,88,194315149
2022,88,192326328
2022,88,192507021
2022,88,192507022
2022,88,192326331
2022,88,192441891
2022,88,192326333
2022,88,192326334
2022,88,192326336
2022,88,192326337
2022,88,192279540
2022,88,194315150
2022,88,192326338
2022,88,194315151
2022,88,192326339
2022,88,192326340
2022,88,194315152
2022,88,200761517
2022,88,187800840
2022,88,187800841
2022,88,187800842
2022,88,187717187
2022,88,187717188
2022,88,187717189
2022,88,187717190
2022,88,187717191
2022,88,187717192
2022,88,187717193
2022,88,187717194
2022,88,187717195
2022,88,187717196
2022,88,187717197
2022,88,187717198
2022,88,187717199
2022,88,187717200
2022,88,189380724
2022,88,189380725
2022,88,189380727
2022,88,189380728
2022,88,189380729
2022,88,189380730
2022,88,194317360
2022,88,194317361
2022,88,194317362
2022,88,194317363
2022,88,194317364
2022,88,194317365
2022,88,194317366
2022,88,194317367
2022,88,194317368
2022,88,195763895
2022,88,194317369
2022,88,194317370
2022,88,194317371
2022,88,194317372
2022,88,194317373
2022,88,194317374
2022,88,194317375
2022,88,194317376
2022,88,194317378
2022,88,194317379
2022,88,194317380
2022,88,194317381
2022,88,194317382
2022,88,194317383
2022,88,194317384
2022,88,194317385
