data_year,victim_id,offense_id
2022,177976762,192326192
2022,177976763,192326193
2022,177976765,192326195
2022,177976766,192326196
2022,177976767,192326197
2022,177976768,192326198
2022,179957439,194315110
2022,177976769,192326199
2022,177976770,192326200
2022,177976770,192326201
2022,177976770,192326202
2022,177976771,192326203
2022,177976772,192326204
2022,177976774,192326206
2022,179957440,194315111
2022,177976775,192326207
2022,177931266,192279514
2022,178236947,192597366
2022,179957441,194315112
2022,179957442,194315112
2022,177976776,192326208
2022,177976777,192326209
2022,177976778,192326210
2022,177976778,192326211
2022,179957443,194315113
2022,179957444,194315114
2022,177976780,192326213
2022,177976782,192326215
2022,177976783,192326216
2022,179957445,194315115
2022,177976785,192326218
2022,177976786,192326219
2022,177976787,192326220
2022,177976788,192326221
2022,177976789,192326222
2022,179957446,194315116
2022,177976790,192326223
2022,177976791,192326224
2022,179957447,194315117
2022,187654452,202033029
2022,177976792,192326225
2022,182448730,196806296
2022,177976794,192326227
2022,187654453,202033030
2022,177976795,192326228
2022,177976797,192326232
2022,177976798,192326233
2022,177931267,192279515
2022,185169872,199528170
2022,177976799,192326234
2022,179957448,194315118
2022,177931268,192279516
2022,177976800,192326235
2022,177976801,192326237
2022,177976802,192326236
2022,188607767,202983487
2022,177976804,192326239
2022,177976805,192326240
2022,177976805,192326241
2022,177976805,192326242
2022,177976806,192326243
2022,179957449,194315119
2022,177976808,192326245
2022,177976809,192326246
2022,177976810,192326247
2022,177976811,192326248
2022,179957450,194315120
2022,177976812,192326249
2022,177976813,192326250
2022,177976813,192326251
2022,179957451,194315121
2022,177976814,192326252
2022,177976815,192326253
2022,179957452,194315122
2022,179957453,194315123
2022,179957454,194315124
2022,177931269,192279517
2022,177976816,192326254
2022,177976816,192326255
2022,177931270,192279518
2022,177976818,192326257
2022,177931271,192279519
2022,177931272,192279520
2022,177976819,192326258
2022,177976820,192326259
2022,177931273,192279521
2022,177976821,192326260
2022,177976822,192326261
2022,177931274,192279522
2022,177931274,192279523
2022,177931274,192279524
2022,177976823,192326262
2022,177976823,192326263
2022,177976824,192326264
2022,177976825,192326265
2022,177976826,192326266
2022,177976826,192326267
2022,180884722,195235243
2022,177976828,192326269
2022,179957455,194315125
2022,179957455,194315126
2022,179957455,194315127
2022,179957456,194315128
2022,179957457,194315129
2022,179957458,194315130
2022,177976829,192326270
2022,177976829,192326271
2022,179957460,194315132
2022,179957461,194315133
2022,177976830,192326272
2022,177976831,192326273
2022,177976832,192326274
2022,177976834,192326276
2022,177976835,192326276
2022,177976836,192326276
2022,179957462,194315134
2022,179957462,194315135
2022,182648547,197006491
2022,177976838,192326278
2022,177976839,192326279
2022,179957463,194315136
2022,177976841,192326281
2022,179957464,194315137
2022,179957464,194315138
2022,177976842,192326282
2022,177976842,192326283
2022,177976842,192326284
2022,177976843,192326285
2022,179957465,194315139
2022,178089359,192441889
2022,177976844,192326286
2022,177931276,192279526
