data_year,criminal_act_id,offense_id
2022,9,192326197
2022,1,192326198
2022,9,192326204
2022,9,194315111
2022,9,192326207
2022,9,192597366
2022,6,192326208
2022,9,192326209
2022,3,194315113
2022,6,194315114
2022,6,192326213
2022,9,192326215
2022,9,192326216
2022,6,192326218
2022,9,192326220
2022,9,192326222
2022,6,194315116
2022,6,192326223
2022,6,194315117
2022,6,202033029
2022,6,192326225
2022,9,196806296
2022,9,192326227
2022,6,202033030
2022,6,199528170
2022,9,192326234
2022,9,192279516
2022,9,192326236
2022,9,202983487
2022,9,192326240
2022,6,192326243
2022,6,192326245
2022,6,194315120
2022,9,194315121
2022,9,192326252
2022,9,192326253
2022,9,194315123
2022,9,194315124
2022,9,192326259
2022,9,192326264
2022,6,192326266
2022,6,192326267
2022,9,195235243
2022,6,194315125
2022,6,194315126
2022,6,194315128
2022,9,194315129
2022,8,194315130
2022,9,194315132
2022,9,194315133
2022,1,192326272
2022,9,192326273
2022,9,192326274
2022,9,192326276
2022,6,194315134
2022,6,194315135
2022,3,192326279
2022,6,192326285
2022,9,194315139
2022,9,192441889
2022,9,194315140
2022,9,202188053
2022,6,192326294
2022,9,192279530
2022,9,192326297
2022,6,202033031
2022,6,202033032
2022,9,192326298
2022,9,192326299
2022,9,194315143
2022,6,202033033
2022,6,194315144
2022,9,192279532
2022,9,192326309
2022,9,192326311
2022,9,192326312
2022,6,192326313
2022,9,199172517
2022,9,192326320
2022,9,192326322
2022,9,192326323
2022,9,192326324
2022,9,192326325
2022,9,194315147
2022,6,194315148
2022,9,192507021
2022,9,192326337
2022,9,194315150
2022,6,192326340
2022,6,194315152
2022,6,200761517
2022,9,194315153
2022,6,194315154
2022,9,192326341
2022,9,194315155
2022,6,194315156
2022,6,194315157
2022,6,192279541
2022,6,194315158
2022,6,194315159
2022,9,192279542
2022,9,194315160
2022,6,194315161
2022,9,200562882
2022,6,200562885
2022,6,194315163
2022,9,192441893
2022,9,194315164
2022,9,194315166
2022,1,194315171
2022,9,194315172
2022,6,202033034
2022,9,194315173
2022,9,194315177
2022,9,194315178
2022,6,194315181
2022,6,194315182
2022,9,194315191
2022,9,194315192
2022,9,194315193
2022,9,194315194
2022,6,195429529
2022,6,195429530
2022,9,194315197
2022,9,194315198
2022,9,194315200
2022,3,202033035
2022,6,202033036
2022,6,202033037
2022,9,194315204
2022,9,194315207
2022,9,194315208
2022,9,194742068
2022,9,195902920
2022,6,202033038
2022,9,194315210
2022,9,194315216
2022,9,194315221
2022,9,199528172
2022,9,199528173
2022,9,194315224
2022,6,194720238
2022,6,194720239
2022,6,202033039
2022,6,202033040
2022,9,194315229
2022,6,194315232
2022,9,195284090
2022,9,194744775
2022,9,198680838
2022,9,195115956
2022,9,196480722
2022,9,195375207
2022,11,195375208
2022,9,195778069
2022,9,195778070
2022,6,195466546
2022,6,195466547
2022,9,195346884
2022,9,199528174
2022,9,202033041
2022,2,202033042
2022,9,195466548
2022,9,195778071
2022,9,195623419
2022,14,178053261
2022,8,178780439
2022,6,178780440
2022,6,178780462
2022,6,178780463
2022,8,178830971
2022,6,179019307
2022,6,179019308
2022,6,179019309
2022,6,179019310
2022,3,178957125
2022,6,187717188
2022,6,187717194
2022,6,187717195
2022,6,179625732
2022,3,180074767
2022,6,189380724
2022,6,189380725
2022,8,189380728
2022,6,180074767
2022,6,180074772
2022,8,189380729
2022,6,194317363
2022,1,194317374
2022,3,194317381
2022,6,194317383
2022,6,194317384
2022,6,194317393
2022,6,194317396
2022,6,194317397
2022,6,194317398
2022,6,194317404
2022,6,194317405
2022,6,194317406
2022,6,194317412
2022,6,194317414
2022,6,194317421
2022,6,194317424
