data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,48875320,,51
2022,48875322,,51
2022,48875323,,51
2022,48875324,,51
2022,49359351,,51
2022,48875325,,51
2022,49359352,,51
2022,49359353,,51
2022,48875327,,51
2022,48875328,,51
2022,48875329,,51
2022,48875330,,51
2022,49359354,,51
2022,48875331,,51
2022,49359355,,51
2022,51245518,,51
2022,48875332,,51
2022,48875333,,51
2022,51245519,,51
2022,48875334,,51
2022,48875335,,52
2022,48875336,,51
2022,49359356,,51
2022,49359357,,51
2022,48875337,,51
2022,48875338,,3
2022,49359358,,51
2022,49359359,,51
2022,49359360,,51
2022,50015659,,51
2022,48875340,,51
2022,48875341,,9
2022,48902050,,51
2022,48875342,,51
2022,51245520,,51
2022,51245521,,51
2022,49359363,,51
2022,48875343,,51
2022,48875344,,51
2022,49359364,,51
2022,48875346,,51
2022,48916677,,51
2022,48875348,,51
2022,48860733,,51
2022,48875349,,51
2022,50907335,,51
2022,49359365,,51
2022,49359366,,51
2022,49359367,,51
2022,49359368,,51
2022,49359369,,51
2022,50857280,,3
2022,49359370,,51
2022,49359371,,51
2022,48989500,,51
2022,51245522,,51
2022,49359372,,51
2022,49359373,,51
2022,49359374,,51
2022,49359376,,51
2022,49359377,,51
2022,51245523,,51
2022,51245524,,53
2022,49772240,,51
2022,51245525,,51
2022,49359378,,51
2022,50613137,,51
2022,47792491,,51
2022,47770583,,51
2022,47770584,,51
2022,47770585,,51
2022,47770586,,51
2022,47770587,,51
2022,49455976,,51
2022,51245526,,51
2022,49359379,,52
2022,49466415,,51
2022,49743660,,51
2022,49637967,,51
2022,50522177,,51
2022,49743661,,51
2022,49614313,,51
2022,45453198,,51
2022,48167057,,51
2022,48167059,,51
2022,48167060,,51
2022,48167061,,51
2022,48167062,,51
2022,49359895,,51
2022,49359896,,51
2022,49359897,,51
2022,49740307,,51
2022,49359898,,51
2022,49359899,,51
2022,49359900,,51
2022,49359901,,51
2022,49359902,,51
2022,49359903,,51
2022,49359904,,51
2022,49359905,,51
2022,49359906,,51
2022,49359907,,51
2022,49359908,,51
2022,49359909,,51
2022,49359910,,51
2022,49359911,,51
2022,49359912,,51
2022,49359913,,51
2022,49359914,,51
2022,49359915,,51
2022,49359916,,51
2022,49359917,,51
2022,49359918,,51
2022,45622983,,51
2022,45622984,,51
2022,45622985,,51
2022,45622986,,51
2022,45622987,,51
2022,45622988,,51
2022,49359920,,51
2022,49359921,,51
2022,49359922,,51
2022,49359923,,51
2022,49359924,,51
2022,49359925,,51
2022,49359926,,51
2022,49359927,,51
2022,49359928,,51
2022,49359929,,51
2022,49359930,,3
2022,49359931,,51
2022,49359932,,51
2022,49359933,,51
2022,49359934,,51
2022,49359935,,51
2022,49359936,,51
2022,49359937,,52
2022,49359938,,51
2022,49359939,,51
2022,49359940,,51
2022,49359941,,51
2022,49359942,,51
2022,49359943,,51
2022,49359945,,51
2022,49359946,,51
2022,49359947,,51
2022,49359948,,51
2022,49359949,,51
2022,49359950,,51
2022,49359951,,51
2022,49359952,,51
2022,49359953,,51
2022,49359954,,51
2022,49974077,,51
2022,49974078,,51
2022,49974079,,51
2022,49974080,,51
2022,49974081,,51
2022,45622990,,51
2022,45622991,,51
2022,45622992,,51
2022,45640020,,51
2022,45640025,,51
2022,45640028,,51
2022,45640032,,51
2022,45640034,,51
2022,45679508,,51
2022,47996023,,51
2022,47996024,,51
2022,47996025,,51
2022,47996026,,3
2022,47996027,,3
2022,47996028,,51
2022,47996029,,51
2022,47996030,,51
2022,47996031,,51
2022,47996032,,51
2022,47996033,,9
2022,47996034,,51
2022,47996035,,51
2022,45640039,,51
2022,45640041,,51
2022,45640047,,51
2022,45662928,,51
2022,45714259,,51
2022,46271437,,51
2022,48591818,,51
2022,45829603,,51
2022,45932279,,51
2022,48591819,,52
2022,48591820,,51
2022,48591821,,51
2022,48591822,,51
2022,48591823,,51
2022,48591824,,51
2022,48591825,,51
2022,48591826,,51
2022,48591827,,51
2022,48591828,,51
2022,48591829,,51
2022,48591830,,51
2022,48581852,,51
2022,48581853,,52
2022,48581854,,51
2022,48581855,,51
2022,48581856,,51
2022,45950779,,51
2022,45950780,,51
2022,48581858,,51
2022,48581859,,51
2022,48581860,,51
2022,48581861,,51
2022,48581862,,51
2022,48581863,,51
2022,48581864,,51
2022,48581865,,51
2022,48581866,,51
2022,48795067,,51
2022,48795068,,51
2022,48795069,,51
2022,48795070,,51
2022,48795071,,51
2022,48795072,,51
2022,48795073,,51
2022,48795074,,51
2022,48795075,,51
2022,48795076,,51
2022,48795077,,51
2022,48795078,,51
2022,48795079,,51
2022,48795080,,51
2022,48795081,,51
2022,48795082,,52
2022,48795083,,51
2022,48795084,,51
2022,48795085,,51
2022,48795086,,51
2022,48795087,,51
2022,48795088,,51
2022,46296995,,51
2022,46296996,,51
2022,46271440,,51
2022,46271441,,51
2022,50052750,,51
2022,46271442,,51
2022,46271443,,51
2022,46321833,,51
2022,46271444,,51
2022,46560190,,51
2022,50052751,,51
2022,50052752,,51
2022,46271445,,51
2022,46296997,,51
2022,46296998,,51
2022,46296999,,51
2022,46297000,,51
2022,46297001,,51
2022,46321834,,51
2022,46323796,,51
2022,46350107,,51
2022,46350108,,51
2022,46560191,,51
2022,50052753,,51
2022,46560192,,51
2022,48538866,,51
2022,46560193,,51
2022,46560194,,51
2022,50052754,,1
2022,50052755,,51
2022,50052756,,51
2022,46560195,,51
2022,46560197,,51
2022,46658025,,51
2022,46560198,,51
2022,46658026,,51
2022,50052757,,51
2022,46658027,,51
2022,46675497,,51
2022,50052758,,51
2022,46675498,,51
2022,46683223,,51
2022,50052759,,51
2022,48539776,,51
2022,46765985,,51
2022,50052760,,3
