data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2022,158652796,160891554,4,,
2022,158652797,160891555,5,,
2022,158652798,160891555,7,,
2022,158652799,160891557,5,,
2022,158652800,160891557,7,,
2022,158652801,160891558,4,,
2022,158652802,160891560,6,,
2022,160129974,162620859,7,,
2022,158652803,160891561,7,,
2022,158652804,160891562,4,,
2022,158652805,160891562,7,,
2022,158652806,160891563,7,,
2022,158652807,160891566,7,,
2022,158652808,160891567,1,,
2022,158618531,160851701,5,,
2022,158618532,160851701,7,,
2022,160129975,162620861,4,,
2022,158652809,160891568,6,,
2022,158652810,160891570,1,,
2022,160129976,162620862,6,,
2022,160129977,162620863,6,,
2022,158652812,160891572,6,,
2022,158652813,160891575,1,,
2022,160129978,162620864,7,,
2022,158652815,160891577,6,,
2022,158652816,160891578,7,,
2022,158652817,160891580,5,,
2022,158652818,160891580,7,,
2022,160129979,162620865,6,,
2022,158652819,160891582,6,,
2022,158652820,160891583,7,,
2022,160129980,162620866,6,,
2022,165968049,169344093,6,,
2022,158652821,160891584,6,,
2022,165968050,169344094,6,,
2022,158652822,160891587,7,,
2022,158652825,160891589,7,,
2022,158652826,160891590,7,,
2022,158618533,160851702,7,,
2022,164069601,167178298,6,,
2022,160129981,162620867,7,,
2022,158652827,160891592,7,,
2022,158652828,160891593,4,,
2022,158652829,160891595,7,,
2022,158652830,160891596,1,,
2022,158652831,160891596,4,,
2022,160129982,162620868,7,,
2022,158652833,160891598,6,,
2022,158652834,160891599,7,,
2022,158652835,160891600,1,,
2022,158652836,160891601,7,,
2022,160129983,162620869,6,,
2022,158652837,160891602,4,,
2022,158652838,160891603,7,1,
2022,160129984,162620871,4,,
2022,160129985,162620872,1,,
2022,158618534,160851704,7,,
2022,158652839,160891606,1,,
2022,158652840,160891606,4,,
2022,158618535,160851705,7,,
2022,158652841,160891608,7,,
2022,158618536,160851706,7,,
2022,158618537,160851707,1,,
2022,158652842,160891609,7,,
2022,158618538,160851708,4,,
2022,158652843,160891611,5,,
2022,158652844,160891611,7,,
2022,158652845,160891612,7,,
2022,158618539,160851709,4,,
2022,158618540,160851709,7,,
2022,158652846,160891613,4,,
2022,158652847,160891613,7,,
2022,158652848,160891615,4,,
2022,158652849,160891616,6,,
2022,158652850,160891618,7,,
2022,160129986,162620874,6,,
2022,160129987,162620875,6,,
2022,158652851,160891619,7,,
2022,160129989,162620878,1,,
2022,160129990,162620879,1,,
2022,158652852,160891620,1,,
2022,160129991,162620880,6,,
2022,162179088,164978376,5,,
2022,162179089,164978376,7,,
2022,158652856,160891626,7,,
2022,158652857,160891627,6,,
2022,160129992,162620881,7,,
2022,158652860,160891629,7,1,
2022,160129993,162620882,4,,
2022,160129994,162620882,7,,
2022,158652861,160891630,4,,
2022,158652862,160891630,7,,
2022,158652863,160891632,7,,
2022,158618541,160851711,7,,
2022,158652864,160891633,7,,
2022,158618542,160851712,7,,
2022,158652865,160891634,7,,
2022,158618543,160851713,1,,
2022,160129995,162620884,1,,
2022,158618544,160851714,7,,
2022,160129996,162620885,4,,
2022,158652866,160891635,4,,
2022,158652867,160891636,5,,
2022,158652868,160891636,7,,
2022,158652871,160891639,6,,
2022,158652872,160891640,7,,
2022,158652873,160891641,7,,
2022,158618545,160851715,4,,
2022,165968051,169344095,6,,
2022,158652874,160891644,1,,
2022,160129997,162620887,1,,
2022,158652875,160891645,7,,
2022,165968052,169344096,6,,
2022,160129998,162620888,6,,
2022,158652876,160891646,7,,
2022,158652877,160891647,7,,
2022,158618546,160851717,4,,
2022,158652878,160891648,7,1,
2022,158652879,160891649,5,,
2022,158652880,160891649,7,,
2022,158652882,160891651,1,,
2022,158652883,160891652,4,,
2022,160129999,162620889,4,,
2022,158652885,160891655,7,,
2022,160130000,162620890,7,,
2022,158652886,160891658,6,,
2022,158652887,160891659,7,1,
2022,158652888,160891660,4,,
2022,158618550,160851721,7,,
2022,158652889,160891661,7,,
2022,158652890,160891664,7,,
2022,158652891,160891665,5,,1
2022,158652892,160891665,7,1,
2022,158652893,160891666,1,,
2022,158652894,160891669,1,,
2022,158652895,160891670,7,,
2022,158618552,160851723,1,,
2022,158652896,160891671,7,,
2022,160130001,162620892,3,,
2022,160130002,162620892,7,,
2022,158652897,160891672,7,,
2022,158780852,161044515,4,,
2022,158652899,160891674,7,,
2022,158733563,160989515,7,1,
2022,158652901,160891676,7,1,
2022,158652903,160891678,7,,
2022,158652904,160891679,1,,
2022,158618553,160851724,5,,
2022,158618554,160851724,7,,
2022,160130003,162620893,1,,
2022,158652905,160891680,7,,
2022,160130004,162620894,7,,
2022,158652906,160891681,7,,
2022,158652907,160891682,6,,
2022,160130005,162620895,6,,
2022,165007896,168251568,6,,
2022,160130006,162620896,1,,
2022,160130007,162620897,6,,
2022,160130008,162620898,7,,
2022,160130009,162620899,6,,
2022,158618555,160851725,1,,
2022,160130010,162620900,6,,
2022,158618556,160851726,1,,
2022,160130011,162620901,1,,
2022,160130012,162620902,6,,
2022,164855724,168078512,1,,
2022,164855725,168078512,4,,
2022,164855726,168078512,7,,
2022,160130013,162620903,4,,
2022,158986705,161297297,1,,
2022,160130014,162620904,6,,
2022,158780854,161044518,7,,
2022,160130015,162620906,4,,
2022,160130016,162620907,1,,
2022,160130017,162620908,7,,
2022,158783466,161047421,7,,
2022,160130018,162620909,4,,
2022,160130019,162620909,7,,
2022,158986708,161297299,1,,
2022,160130020,162620910,3,,
2022,165968053,169344097,6,,
2022,160130021,162620913,4,,
2022,160130022,162620914,1,,
2022,160130023,162620915,7,,
2022,160130024,162620918,5,,1
2022,160130025,162620918,7,1,
2022,160130026,162620919,7,,
2022,160130027,162620920,6,,
2022,160130028,162620921,7,,
2022,160130029,162620922,7,,
2022,160130030,162620923,7,,
2022,160130031,162620924,7,,
2022,160130032,162620925,7,,
2022,160130035,162620927,7,,
2022,160130036,162620928,7,,
2022,160130037,162620933,7,,
2022,160977976,163592211,1,,
2022,160977977,163592211,3,,
2022,160130038,162620934,7,,
2022,160130039,162620937,7,,
2022,160130040,162620938,4,,
2022,160130041,162620939,7,,
2022,161006281,163625006,7,,
2022,160130042,162620940,5,,
2022,160130043,162620940,7,,
2022,165968054,169344098,6,,
2022,160130044,162620941,1,,
2022,160130045,162620942,4,,
2022,160130046,162620943,7,,
2022,165968055,169344099,6,,
2022,160130047,162620946,7,,
2022,162058208,164846192,4,,
2022,162058209,164846192,7,,
2022,160783242,163370223,1,,
2022,160783243,163370223,4,,
2022,160783244,163370223,7,,
2022,160130052,162620950,7,1,
2022,161125604,163763812,7,,
2022,160130054,162620953,7,,
2022,160130055,162620954,7,,
2022,160130056,162620955,7,,
2022,160130057,162620957,7,,
2022,160130058,162620958,1,,
2022,160130059,162620959,7,,
2022,160130060,162620960,7,,
2022,160130061,162620961,4,,
2022,160448883,162980760,6,,
2022,160130062,162620962,7,,
2022,165968056,169344100,6,,
2022,166913412,170429598,1,,
2022,160481742,163019002,4,,
2022,160130063,162620963,1,,
2022,160130064,162620963,4,,
2022,160467503,163001987,7,,
2022,160448884,162980761,7,,
2022,160977978,163592212,7,,
2022,160481743,163019003,7,,
2022,161006282,163625007,5,,
2022,161006283,163625007,7,,
2022,160772069,163357010,5,,
2022,160772070,163357010,7,,
2022,160866970,163469081,7,,
2022,160915369,163521032,5,,
2022,160915370,163521032,7,,
2022,160743249,163323224,7,,
2022,161006284,163625008,5,,
2022,161006285,163625008,6,,
2022,160783245,163370224,7,,
2022,164069602,167178302,1,,
2022,163791176,166872047,7,,
2022,161316704,163983419,7,,
2022,160977979,163592213,7,,
2022,160937281,163545735,5,,
2022,160937282,163545735,7,,
2022,164004500,167101599,1,,
2022,166306803,169731359,7,,
2022,147891965,148468587,7,,
2022,148437488,149106433,6,,
2022,148437489,149106434,7,,
2022,148437490,149106435,7,,
2022,148437491,149106436,7,,
2022,148437492,149106437,5,,
2022,148437493,149106437,7,,
2022,148437494,149106439,5,,
2022,148437495,149106439,7,,
2022,148437496,149106440,5,,
2022,148437497,149106440,7,,
2022,148437498,149106443,7,,
2022,148437499,149106444,7,,
2022,148437500,149106445,5,,
2022,148437501,149106445,7,,
2022,148437502,149106446,7,,
2022,148437503,149106449,5,,
2022,148437504,149106449,7,,
2022,148437505,149106452,7,,
2022,148437506,149106453,5,,
2022,148437507,149106453,7,,
2022,148437508,149106454,5,,
2022,148437509,149106454,7,,
2022,148437510,149106455,6,,
2022,148437512,149106457,7,,
2022,148476998,149149675,6,,
2022,148476999,149149675,7,,
2022,148477001,149149677,7,,
2022,150431172,151392212,5,,
2022,150431173,151392212,7,,
2022,150431174,151392213,5,,
2022,150431175,151392213,7,,
2022,148477006,149149682,7,,
2022,148498097,149173271,7,,
2022,148498099,149173273,7,,
2022,148498101,149173275,7,,
2022,148498103,149173277,5,,
2022,148498104,149173277,7,,
2022,148498106,149173279,7,,
2022,148498107,149173280,7,,
2022,148498112,149173287,5,,
2022,148498113,149173287,7,,
2022,148498115,149173289,7,,
2022,148498118,149173292,7,,
2022,148498120,149173295,7,,
2022,148618037,149314497,3,,
2022,148618038,149314497,5,,
2022,148618039,149314497,6,,
2022,148618040,149314497,7,,
2022,148498123,149173300,7,,
2022,148498125,149173302,7,,
2022,148498127,149173304,5,,
2022,148498128,149173304,7,,
2022,148498130,149173306,7,,
2022,150431176,151392214,5,,
2022,150431177,151392214,7,,
2022,148498135,149173311,5,,
2022,148498136,149173311,7,,
2022,148571380,149259950,7,,
2022,148571381,149259951,7,,
2022,148571382,149259952,3,,
2022,148571383,149259952,7,,
2022,148571384,149259953,5,,
2022,148571385,149259953,7,,
2022,148571386,149259954,1,,
2022,148571387,149259955,7,,
2022,148571388,149259956,7,,
2022,148571389,149259957,5,,
2022,148571390,149259957,7,,
2022,148618041,149314498,7,,
2022,148618042,149314499,1,,
2022,151902147,153097612,5,,
2022,151902148,153097612,7,,
2022,148687771,149386839,5,,
2022,148687772,149386839,7,,
2022,148687773,149386840,7,,
2022,148774448,149473612,7,,
2022,148774449,149473613,5,,
2022,148774450,149473613,7,,
2022,149087872,149836786,7,,
2022,149087873,149836787,7,,
2022,149087874,149836789,1,,
2022,149098642,149849543,5,,
2022,149098643,149849543,7,,
2022,149357694,150151192,1,,
2022,149357695,150151192,4,,
2022,149098650,149849548,7,,
2022,150431178,151392216,7,,
2022,149098656,149849555,5,,1
2022,149098657,149849555,7,1,
2022,149357700,150151200,7,,
2022,149357703,150151204,4,,
2022,149357709,150151208,4,,
2022,149418035,150221311,6,,
2022,149418037,150221314,6,,
2022,150422673,151382231,7,,
2022,150422674,151382232,7,,
2022,150515108,151485564,5,,
2022,150515109,151485564,7,,
2022,150431183,151392223,6,,
2022,150431184,151392224,7,,
2022,150431185,151392225,7,,
2022,150610746,151593212,5,,
2022,150610747,151593212,7,,
2022,150431188,151392227,5,,
2022,150431189,151392227,7,,
2022,150431190,151392228,7,,
2022,150431191,151392229,7,,
2022,150431192,151392230,6,,
2022,150431193,151392231,7,,
2022,150431194,151392232,7,,
2022,150431195,151392234,7,,
2022,150432852,151394233,4,,
2022,150432853,151394234,4,,
2022,150432854,151394235,7,,
2022,150432855,151394236,4,,
2022,150610748,151593213,1,,
2022,150615835,151599608,1,,
2022,150615837,151599610,6,,
2022,150681372,151687296,6,,
2022,150681373,151687297,5,,
2022,150681374,151687297,7,,
2022,150681375,151687298,7,,
2022,150681377,151687301,7,,
