data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,4,158652802,1.000,11,14152287
2022,4,158652809,56.000,9,14152288
2022,2,158652809,1.000,9,14152289
2022,4,160129976,202.000,1,14350606
2022,1,158652812,1.000,11,14152292
2022,4,158652815,3.000,9,14152293
2022,4,158652819,1.000,11,14152294
2022,12,165968049,1.000,11,15146869
2022,17,165968049,1.000,11,15146870
2022,1,158652821,1.000,11,14152295
2022,4,158652821,1.000,11,14152296
2022,12,165968050,1.000,3,15146871
2022,4,158652833,1.000,11,14152297
2022,5,158652833,1.000,11,14152298
2022,8,158652849,1.000,11,14152299
2022,1,160129986,1.000,11,14350607
2022,4,160129986,1.000,11,14350608
2022,4,160129987,1.000,11,14350609
2022,1,160129987,1.000,11,14350610
2022,4,160129991,1.000,11,14350611
2022,1,158652857,1.000,11,14152301
2022,1,158652871,1.000,11,14152302
2022,12,165968051,1.000,11,15146872
2022,12,165968052,1.000,11,15146873
2022,16,158652886,1.000,11,14152303
2022,8,158652886,1.000,11,14152304
2022,4,158652907,1.000,11,14152305
2022,16,160130005,1.000,11,14350612
2022,12,160130009,1.000,11,14350613
2022,4,160130009,1.000,11,14350614
2022,2,160130010,1.000,11,14350615
2022,1,160130012,1.000,11,14350616
2022,4,160130012,1.000,11,14350617
2022,4,160130014,1.000,11,14350618
2022,2,160130014,1.000,11,14350619
2022,4,165968053,1.000,11,15146874
2022,12,165968053,1.000,11,15146875
2022,4,160130027,1.000,11,14350620
2022,1,165968054,1.000,11,15146877
2022,12,165968054,1.000,11,15146878
2022,12,165968055,1.000,11,15146880
2022,4,165968055,1.000,11,15146881
2022,4,160448883,1.000,11,14395166
2022,1,160448883,1.000,11,14395167
2022,12,165968056,1.000,11,15146882
2022,1,148437510,3.000,1,12669896
2022,17,148437510,1.000,9,12669897
2022,4,148618039,27.000,9,12694070
2022,4,149418035,2252.000,9,12805093
2022,17,149418037,1.000,1,12805094
2022,4,150431183,22.000,9,12942353
2022,12,150431183,1.000,1,12942354
2022,4,150431192,1.000,9,12942355
2022,4,150681372,8.000,9,12979073
2022,16,150681372,31.000,9,12979074
2022,4,151352034,50.000,9,13085142
2022,1,151653078,1.000,1,13128904
2022,12,152337224,1.000,1,13233894
2022,4,152584642,2.000,9,13272530
2022,12,152584642,1.000,9,13272531
2022,12,157540685,1.000,9,14001060
2022,4,157681806,26.000,9,14021384
2022,1,158136984,5.000,9,14079949
2022,16,158248956,60.000,9,14091853
2022,12,158248956,18.000,9,14091854
2022,15,158272987,10.000,9,14095617
2022,17,158288625,1.000,1,14097847
2022,4,158288652,5.000,9,14097848
2022,1,158288652,1.000,1,14097849
2022,4,158290950,5.000,9,14098207
2022,1,158290950,31.000,9,14098208
2022,4,147206379,120.000,9,12497694
2022,4,155172773,1.000,11,13665120
2022,7,160131571,1.000,9,14350696
2022,17,160131578,1.000,9,14350697
2022,4,160131580,10.000,9,14350698
2022,4,160131585,1.000,1,14350699
2022,4,160131586,1.000,9,14350700
2022,16,160131592,1.000,9,14350701
2022,16,160131602,7.000,9,14350702
2022,1,160131621,1.000,1,14350703
2022,12,160131643,1.000,9,14350704
2022,8,160131643,1.000,9,14350705
2022,16,160131657,1.000,9,14350706
2022,16,160131669,15.000,9,14350707
2022,4,160131672,30.000,9,14350708
2022,1,160131678,1.000,11,14350709
2022,4,155880413,1.000,1,13769658
2022,1,155880413,1.000,1,13769659
2022,1,146807053,1.000,1,12442933
2022,1,155880475,1.000,1,13769660
2022,4,146570545,1.000,1,12407370
2022,1,155880477,1.000,1,13769661
2022,4,150487324,2.150,1,12951922
2022,1,155880493,1.000,1,13769662
2022,1,157741433,1.000,11,14028059
2022,4,157681867,1.000,9,14021386
2022,4,157681904,2.000,9,14021387
2022,4,147199804,2.430,1,12496308
2022,4,158417559,1.000,9,14119869
2022,8,147199806,13.000,9,12496309
2022,2,147199806,1.100,1,12496310
2022,4,154902358,3.500,1,13626527
2022,5,160933754,166.000,1,14462948
2022,12,161546764,1.000,1,14550491
2022,4,151352788,3.000,1,13085160
2022,1,151352793,2.000,1,13085161
2022,4,151352812,1.000,1,13085162
2022,4,151352818,1.000,1,13085163
2022,8,151352818,1.000,1,13085164
2022,4,151352839,2.000,1,13085165
2022,4,151352861,1.000,1,13085167
2022,8,151352861,1.000,1,13085168
2022,1,151352861,1.000,1,13085169
2022,7,152732492,1.000,1,13296309
2022,4,152732505,1.000,11,13296313
2022,4,147199813,136.000,1,12496311
2022,1,154386630,1.000,11,13546435
2022,15,154386630,1.000,11,13546436
2022,13,155764368,0.500,3,13752174
2022,1,155764370,1.000,1,13752175
2022,1,155764376,1.000,1,13752176
2022,4,156705029,1.000,1,13877909
2022,4,156705041,5.000,9,13877910
2022,4,156705050,12.000,9,13877911
2022,1,156705060,1.000,1,13877912
2022,4,156705061,1.000,1,13877913
2022,4,156705067,5.000,9,13877914
2022,8,147199813,90.000,1,12496312
2022,4,148020744,48.000,1,12608885
2022,2,156705078,6.000,1,13877915
2022,16,157660655,1.000,1,14019891
2022,1,157660674,5.000,1,14019892
2022,4,157660699,1.000,9,14019893
2022,1,148020744,32.000,1,12608886
2022,4,151352199,6.000,9,13085144
2022,4,161227637,2.000,9,14511303
2022,12,161227637,7.000,9,14511304
2022,16,148120910,2.000,5,12624259
2022,4,147903453,5.100,1,12594801
2022,4,148020753,1.000,11,12608887
2022,1,160132807,2.000,1,14350817
2022,4,160132808,2.000,1,14350818
2022,2,160132819,15.000,1,14350819
2022,4,160132885,46.000,3,14350824
2022,4,160132907,13.000,1,14350827
2022,16,148020753,1.000,11,12608888
2022,4,148036485,17.000,1,12610897
2022,5,148036485,5.000,1,12610898
2022,1,154604906,1.000,9,13584223
2022,5,154604906,8.000,1,13584224
2022,2,156857214,1.500,1,13897269
2022,7,156857214,1.000,9,13897270
2022,8,148120922,33.500,1,12624260
2022,16,161522431,27.000,9,14547078
2022,4,161522434,2.000,1,14547079
2022,1,148234869,2.000,1,12641837
2022,4,148690416,5.000,1,12702022
2022,4,155865894,7.000,9,13767621
2022,5,148690416,27.000,1,12702023
2022,5,148622974,2.190,4,12694525
2022,1,148622974,24.000,1,12694526
2022,4,163228351,10.000,9,14760080
2022,1,163228351,7.000,1,14760081
2022,17,148905025,1.000,1,12725578
2022,4,149038040,24.000,9,12748678
2022,4,155764402,1.000,11,13752177
2022,4,156448350,6.000,9,13841708
2022,1,156448350,10.000,1,13841709
2022,12,156448372,1.000,1,13841710
2022,2,149313854,4.900,1,12788050
2022,4,156448384,1.000,1,13841711
2022,1,156448384,3.000,1,13841712
2022,2,150460419,0.500,1,12947234
2022,1,149600724,4.000,1,12830348
2022,2,160133380,2.000,3,14350848
2022,4,155172782,1.000,1,13665121
2022,4,155172788,1.000,1,13665122
2022,17,155172791,1.000,1,13665123
2022,4,155172801,4.000,9,13665124
2022,2,155172818,1.000,1,13665125
2022,12,155172839,3.000,9,13665126
2022,16,155172839,11.000,9,13665127
2022,16,157429345,4.000,9,13983523
2022,12,157429347,2.000,9,13983524
2022,4,157429350,4.000,9,13983525
2022,12,161227666,1.000,9,14511305
2022,12,149600724,5.000,1,12830349
2022,4,150511174,2.000,1,12953976
2022,1,151354074,1.000,11,13085225
2022,2,151354074,1.000,11,13085226
2022,4,151354094,1.000,9,13085227
2022,4,151354127,1.000,9,13085228
2022,12,151354127,1.000,9,13085229
2022,16,151354131,12.000,9,13085230
2022,2,151354153,1.000,9,13085231
2022,2,151354156,2.000,1,13085232
2022,4,151354159,39.000,9,13085233
2022,4,150619036,189.000,1,12966869
2022,4,151952871,1.000,9,13179048
2022,4,151952894,3.000,9,13179049
2022,12,152996223,1.000,11,13331668
2022,4,152996223,1.000,11,13331669
2022,8,150619036,40.000,9,12966870
2022,1,153818702,2.000,1,13460609
2022,1,151352297,7.000,1,13085145
2022,8,152996322,1.000,11,13331671
2022,12,152996326,1.000,11,13331672
2022,16,151352297,1.000,11,13085146
2022,1,163841917,1.000,1,14853976
2022,4,154336143,1.000,1,13541718
2022,12,154336147,1.000,11,13541719
2022,5,154336172,1.000,11,13541721
2022,8,154336180,1.000,11,13541724
2022,16,154336211,1.000,11,13541728
2022,2,154336248,1.000,11,13541735
2022,1,160135109,1.000,11,14350915
2022,8,160135111,1.000,11,14350916
2022,12,160135122,1.000,11,14350917
2022,1,160135124,1.000,11,14350918
2022,4,160135129,1.000,11,14350919
2022,2,160135129,1.000,11,14350920
2022,1,151352301,3.000,1,13085147
2022,4,156241361,70.000,1,13814471
2022,4,160135154,2.000,9,14350921
2022,4,160135154,1.000,11,14350922
2022,16,160135161,2.000,9,14350923
2022,17,160135166,2.000,9,14350924
2022,8,151352332,120.000,9,13085148
2022,8,160135170,1.000,11,14350925
2022,4,160135176,1.000,11,14350926
2022,8,160135176,1.000,11,14350927
2022,8,160135185,1.000,9,14350928
2022,1,151352332,65.500,9,13085149
2022,4,151550358,6.790,3,13112206
2022,16,151550358,46.200,9,13112207
2022,16,152578944,1.000,11,13271464
2022,8,152578944,50.000,5,13271465
2022,5,160767878,157.500,1,14438771
2022,4,156450613,48.500,9,13842095
2022,4,156467318,1.000,9,13845370
2022,1,156467318,1.000,11,13845371
2022,4,156467344,3.000,9,13845373
2022,2,156467344,1.000,11,13845374
2022,15,156467344,18.000,9,13845375
2022,1,156450613,6.500,1,13842096
2022,2,156467370,1.000,11,13845376
2022,1,155200505,1.700,1,13668578
2022,4,153818703,1.000,1,13460610
2022,5,151785277,311.000,1,13145805
2022,4,156467376,5.000,9,13845377
2022,2,157399296,1.000,11,13979372
2022,4,157399300,1.000,9,13979373
2022,2,157399313,1.000,11,13979374
2022,4,157399333,1.000,11,13979376
2022,5,157399339,1.000,11,13979377
2022,4,157399360,1.000,9,13979378
2022,8,160135210,5.000,9,14350929
2022,5,160135228,1.000,11,14350930
2022,1,151785277,1.500,1,13145806
2022,4,152824721,121.000,9,13302916
2022,16,152824721,336.000,1,13302917
2022,1,160475540,1.000,1,14399365
2022,1,151960677,1.300,1,13181036
2022,5,151675660,330.000,1,13132810
2022,5,160135298,1.000,11,14350931
2022,4,151675660,51.600,1,13132811
2022,4,152359253,3.000,1,13237166
2022,12,160135302,1.000,11,14350932
2022,1,152330974,0.900,1,13233159
2022,2,160135309,1.000,11,14350933
2022,2,152168293,1.000,11,13214496
2022,1,160135354,1.000,11,14350935
2022,15,160135368,7.000,9,14350937
2022,13,160135368,1.000,11,14350938
2022,16,160135374,1.000,11,14350939
2022,1,152168293,1.000,11,13214497
2022,4,152294992,7.000,1,13228863
2022,12,160135405,1.000,11,14350940
2022,8,160135405,1.000,11,14350941
2022,1,152294992,2.000,1,13228864
2022,1,152168295,1.000,1,13214498
2022,4,154392745,65.000,1,13547274
2022,1,154392745,27.500,1,13547275
2022,5,163658487,230.000,1,14828056
2022,2,161724468,1.000,11,14576156
2022,4,161724488,1.000,11,14576157
2022,4,161724498,8.000,9,14576158
2022,8,161724498,2.000,9,14576159
2022,16,161724527,13.000,9,14576161
