data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,179959724,184640765,15,
2022,179959726,184640767,25,
2022,179959726,184640768,3,
2022,179959727,184640767,3,
2022,179959727,184640768,25,
2022,179959734,184640774,24,
2022,179959739,184640777,16,
2022,179959740,184640777,16,
2022,179959748,184640785,24,
2022,179959758,184640795,3,
2022,179959759,184640796,3,
2022,164738625,169592499,18,
2022,164578125,169434228,1,
2022,164578130,169434235,16,
2022,164578141,169434248,1,
2022,164578142,169434249,3,
2022,164677385,169532412,24,
2022,164677385,169532413,24,
2022,164677388,169532416,16,
2022,164677388,169532417,24,
2022,164903941,169751986,3,
2022,164921412,169769296,8,
2022,167097975,171923474,3,
2022,165337996,170180366,9,
2022,165337998,170180368,16,
2022,165352324,170194203,24,
2022,182451540,187107240,3,
2022,165352331,170194208,1,
2022,182451541,187107241,24,
2022,182451542,187107242,24,
2022,182451548,187107250,24,
2022,182451556,187107260,24,
2022,182451559,187107262,19,
2022,182451559,187107263,25,
2022,182451560,187107262,25,
2022,165691127,170532535,24,
2022,182451560,187107263,19,
2022,165691135,170532545,3,
2022,182451561,187107264,1,
2022,182451562,187107264,1,
2022,174331980,179096361,3,
2022,174331980,179096362,3,
2022,174331981,179096361,3,
2022,174331981,179096362,3,
2022,174331984,179096365,8,
2022,174331985,179096366,3,
2022,174331987,179096368,16,
2022,174331990,179096370,24,
2022,174331990,179096371,24,
2022,174331991,179096372,3,
2022,174331992,179096373,3,
2022,165773415,170614188,3,
2022,167205594,172031594,18,
2022,167205595,172031594,18,
2022,167205596,172031595,24,
2022,167097980,171923478,24,
2022,167097981,171923479,3,
2022,167097983,171923481,1,
2022,167329507,172153478,24,
2022,167097995,171923493,3,
2022,167097997,171923494,17,
2022,167205597,172031596,18,
2022,167205597,172031597,24,
2022,167205597,172031598,24,
2022,167205597,172031599,24,
2022,167205597,172031600,24,
2022,167205598,172031596,18,
2022,167205598,172031597,24,
2022,167205598,172031598,24,
2022,167205598,172031599,24,
2022,167205598,172031600,24,
2022,167329509,172153480,3,
2022,167329510,172153481,24,
2022,167435965,172261512,3,
2022,167435969,172261516,16,
2022,168319663,173140717,9,
2022,168319665,173140719,3,
2022,168319666,173140720,3,
2022,168319671,173140725,24,
2022,168319671,173140726,25,
2022,168319672,173140725,25,
2022,168319672,173140726,24,
2022,168319673,173140727,16,
