data_year,victim_id,injury_id
2022,177976767,7
2022,177976772,5
2022,179957440,4
2022,177976775,5
2022,178236947,4
2022,177976777,5
2022,177976782,4
2022,177976783,5
2022,182448730,5
2022,177976794,4
2022,177976799,5
2022,177931268,4
2022,177976802,5
2022,188607767,2
2022,177976805,5
2022,179957451,4
2022,177976814,5
2022,177976815,5
2022,179957453,5
2022,179957454,5
2022,179957457,5
2022,179957460,5
2022,179957461,5
2022,177976834,4
2022,177976835,4
2022,177976836,4
2022,178089359,5
2022,179957466,5
2022,187807586,5
2022,187807587,5
2022,177976855,4
2022,177976856,5
2022,179957469,5
2022,177931281,4
2022,184818992,5
2022,184818993,4
2022,184818994,4
2022,177976879,5
2022,177976880,5
2022,177976883,5
2022,179957473,3
2022,177976893,5
2022,179957475,5
2022,179957478,5
2022,177976897,4
2022,179957480,5
2022,177931291,5
2022,179957483,5
2022,186197578,5
2022,179957487,5
2022,173460300,4
2022,173377978,4
2022,173377985,4
2022,175042503,4
2022,175042505,4
2022,175042506,4
2022,179959596,4
2022,179959597,4
2022,179959609,4
2022,179959610,4
2022,179959616,5
2022,179959618,4
2022,179959621,3
2022,179959621,6
2022,179959621,7
2022,179959623,4
2022,179959624,4
2022,179959630,4
2022,179959648,4
2022,179959658,4
2022,179959666,3
2022,179959667,4
2022,179959676,5
2022,179959691,3
2022,179959722,5
2022,179959723,4
2022,179959724,4
2022,179959726,4
2022,179959727,4
2022,179959739,5
2022,179959740,5
2022,179959745,5
2022,179959758,5
2022,179959759,4
2022,179957489,5
2022,179957493,4
2022,179957494,4
2022,179957499,4
2022,179957511,4
2022,179957517,4
2022,179957518,5
2022,179957523,5
2022,179957526,5
2022,180388706,5
2022,181548238,5
2022,179957538,5
2022,182451540,5
2022,185169875,4
2022,185169876,5
2022,179957541,5
2022,179957545,4
2022,182451559,4
2022,182451560,4
2022,182451561,4
2022,182451562,4
2022,184327331,5
2022,181020211,5
2022,181020212,5
2022,181424329,5
2022,181424330,5
2022,174331980,4
2022,174331981,4
2022,174331984,3
2022,174331985,4
2022,174331991,4
2022,174331992,6
2022,174331993,4
2022,174331999,4
2022,174332001,4
2022,174332003,4
2022,174332011,4
2022,174332015,4
2022,174332016,5
2022,174332018,4
2022,174332022,4
2022,174332025,4
2022,174332029,4
2022,174332033,4
2022,174332048,4
2022,174332053,3
2022,174332056,4
2022,174332068,4
2022,174332072,5
2022,174332077,4
2022,174332080,4
2022,174332085,4
2022,174332093,4
2022,174332095,4
2022,174332097,4
2022,174332103,5
2022,174332107,4
2022,174332108,4
2022,174332113,6
2022,174332114,5
2022,174332115,5
2022,174332116,5
2022,174332117,5
2022,174332118,5
2022,174332120,4
2022,174332130,4
2022,174332131,4
2022,176794127,3
2022,176794130,4
2022,176794138,4
2022,176794140,6
2022,180992372,5
2022,176794144,6
2022,185169877,5
2022,176794153,5
2022,181111711,5
2022,176794157,5
2022,176794161,4
2022,176794162,3
2022,176794162,6
2022,181424331,4
2022,176713772,4
2022,176713773,4
2022,176713796,6
2022,176713816,4
2022,176713830,3
2022,177672583,4
2022,177672584,3
2022,177672615,4
2022,177672626,4
2022,177672627,4
2022,177672630,5
2022,177672641,4
2022,182820454,4
2022,182820457,4
2022,182820458,4
2022,182820459,4
2022,182820463,4
2022,182820464,4
2022,182820467,4
2022,182820472,5
2022,182820476,5
2022,182820479,4
2022,182820480,4
2022,182820482,4
2022,182820485,4
2022,182820489,8
2022,182820491,3
2022,182820492,4
2022,182820493,4
2022,181015714,4
2022,181015715,5
2022,181424332,4
2022,163769080,4
2022,181015717,4
2022,181015719,5
2022,181015726,4
2022,181015728,4
2022,181015742,4
2022,181015743,4
2022,181015744,4
2022,181015746,4
2022,181015749,5
2022,181818776,4
2022,181818777,4
2022,181818782,4
2022,181818783,4
2022,181818784,4
2022,181818790,5
2022,181818803,4
2022,181818804,4
2022,168320603,4
2022,164502601,2
2022,164502608,4
2022,164502611,4
2022,164502612,4
2022,164502617,4
2022,164502620,5
2022,164502621,4
2022,164578111,4
2022,164578113,5
2022,164578121,5
2022,164738621,5
2022,168320608,4
2022,168320609,4
2022,168320616,4
2022,168320636,4
2022,164578125,5
2022,164578126,4
2022,164578142,5
2022,164903941,4
2022,167097975,4
2022,165337998,5
2022,165691127,5
2022,168320654,4
2022,168320660,4
2022,168320680,4
2022,168320681,4
2022,168320682,4
2022,168320683,5
2022,168654621,6
2022,168654634,6
2022,168654649,4
2022,168654665,6
2022,168654672,4
2022,168654683,4
2022,168654690,4
2022,165773415,4
2022,167205596,1
2022,167097980,4
2022,167097981,4
2022,167097983,4
2022,167097995,4
2022,170154610,4
2022,170154613,4
2022,167205597,4
2022,167205598,4
2022,167329509,4
2022,167329510,5
2022,167435965,4
2022,172350150,4
2022,167435969,5
2022,168319663,4
2022,168319665,4
2022,168319669,4
2022,168319671,4
2022,168319672,5
2022,168319678,4
2022,168319679,4
2022,168319683,5
2022,168319714,4
2022,168715753,4
2022,168789088,4
2022,169079693,4
2022,169079694,4
2022,176523184,5
2022,169516067,4
2022,169625827,4
2022,169662393,5
2022,169975511,5
2022,172350161,4
2022,172350174,4
2022,172350180,5
2022,172350191,6
2022,174175169,6
2022,174175170,5
2022,174175171,5
2022,174175186,3
2022,174175190,4
2022,174175192,4
2022,174175195,4
2022,176668943,5
2022,175436604,1
2022,175436604,4
2022,175436604,6
2022,176668944,5
2022,176923394,5
2022,176923398,5
2022,175436616,5
2022,175436617,4
2022,175436617,6
2022,175436642,4
2022,175436643,4
2022,175436647,4
2022,175436655,5
2022,175436656,5
2022,175436657,5
2022,175436660,5
2022,175436671,4
2022,176686306,4
2022,176686317,4
2022,176686322,4
2022,176686334,4
2022,176686337,5
2022,179960692,4
2022,179960695,5
2022,179960705,4
2022,179960708,1
2022,179960710,5
2022,179960715,4
2022,179960740,5
2022,179960753,6
2022,179960772,4
2022,179960778,4
2022,179960785,4
2022,179960796,4
2022,179960799,4
2022,181410278,4
2022,176923401,4
2022,176923402,4
2022,177306870,8
2022,181410286,6
2022,181410299,4
2022,181410300,4
2022,181410301,6
2022,181410307,4
2022,181410312,6
2022,177306884,4
2022,177312180,4
2022,177448090,5
2022,177450917,5
2022,177481222,4
2022,177481225,5
2022,177481233,4
2022,177481236,4
2022,177488147,4
2022,177488148,4
2022,177505545,4
2022,161417494,8
2022,170875735,4
2022,179961193,6
2022,179961201,4
2022,179961214,1
2022,179961304,6
2022,170041027,4
2022,179961326,5
2022,181784935,5
2022,181784936,8
2022,173394877,5
2022,173394888,5
2022,174312433,4
2022,174312434,6
2022,174312457,6
2022,174312460,3
2022,174312460,7
2022,169639554,3
2022,174312466,4
2022,174312470,4
2022,174312480,5
2022,174312481,5
2022,174312487,5
2022,173394932,5
2022,169639554,7
2022,161735236,5
